Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G026900	NA	0.01051699	0.004526736
TraesCS1A02G027200	0.096940544	0.009544079	0.144617124
TraesCS1A02G027300	0	0	0
TraesCS1A02G027400	NA	NA	NA
TraesCS1A02G027500	0.006850516	NA	NA
TraesCS1A02G027600	0.020280174	NA	NA
TraesCS1A02G027700	0	NA	0
TraesCS1A02G027800	0.063132577	NA	0
TraesCS1A02G028000	NA	0	NA
TraesCS1A02G028100	NA	0	NA
TraesCS1A02G028300	NA	NA	NA
TraesCS1A02G028400	NA	NA	0
TraesCS1A02G028500	0	NA	0.036089357
TraesCS1A02G028600	0	NA	0
TraesCS1A02G028700	NA	NA	0
TraesCS1A02G028900	0	NA	0.036089357
TraesCS1A02G029100	NA	0	0.004715275
TraesCS1A02G029200	0.007690734	0	0
TraesCS1A02G029300	0.005104671	0.096245619	0.21761417
TraesCS1A02G029400	0	0	NA
TraesCS1A02G029900	NA	NA	0
TraesCS1A02G030100	0.007299473	0.011121538	0.003435653
TraesCS1A02G030500	0.005542528	0	0.019482711
TraesCS1A02G030600	0.354369571	0.313422394	0.031554234
TraesCS1A02G030700	0.058528669	0.018527802	0.054400469
TraesCS1A02G031000	NA	NA	0
TraesCS1A02G031100	NA	NA	NA
TraesCS1A02G031200	0.387891289	0.087631904	0.377510443
TraesCS1A02G031300	NA	NA	0.006197572
TraesCS1A02G031400	NA	NA	0
TraesCS1A02G031800	NA	NA	NA
TraesCS1A02G031900	NA	NA	NA
TraesCS1A02G032000	NA	NA	NA
TraesCS1A02G032200	NA	NA	NA
TraesCS1A02G032300	NA	NA	NA
TraesCS1A02G032400	NA	NA	NA
TraesCS1A02G032700	0.009260462	0.047021682	0.004090508
TraesCS1A02G032900	0	NA	0
TraesCS1A02G033000	0.126597824	0.756997613	0.129854723
TraesCS1A02G033100	0.389473743	0.381034359	0.255248239
TraesCS1A02G033300	0.003119371	0	0.074485237
TraesCS1A02G033400	NA	NA	NA
