Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G026900	NA	0.030829657	0
TraesCS1A02G027200	0.231596969	0	0.093546506
TraesCS1A02G027300	0	0	0.015525901
TraesCS1A02G027400	NA	NA	NA
TraesCS1A02G027500	0	NA	NA
TraesCS1A02G027600	0.086034897	NA	NA
TraesCS1A02G027700	0.020239187	NA	0
TraesCS1A02G027800	0.029797822	NA	0
TraesCS1A02G028000	NA	0	NA
TraesCS1A02G028100	NA	0.012267846	NA
TraesCS1A02G028300	NA	NA	NA
TraesCS1A02G028400	NA	NA	0
TraesCS1A02G028500	0	NA	0.073263186
TraesCS1A02G028600	0	NA	0
TraesCS1A02G028700	NA	NA	0
TraesCS1A02G028900	0	NA	0.073263186
TraesCS1A02G029100	NA	0	0
TraesCS1A02G029200	0.034882962	0	0.049288444
TraesCS1A02G029300	0.085808032	0.038865489	0.090647915
TraesCS1A02G029400	0	0	NA
TraesCS1A02G029900	NA	NA	0
TraesCS1A02G030100	0	0	0.020239187
TraesCS1A02G030500	0	0.016580036	0
TraesCS1A02G030600	0.054528974	0.11727846	0
TraesCS1A02G030700	0	0.022959075	0
TraesCS1A02G031000	NA	NA	0
TraesCS1A02G031100	NA	NA	NA
TraesCS1A02G031200	0.128737473	0.107665625	0.336230725
TraesCS1A02G031300	NA	NA	0
TraesCS1A02G031400	NA	NA	0
TraesCS1A02G031800	NA	NA	NA
TraesCS1A02G031900	NA	NA	NA
TraesCS1A02G032000	NA	NA	NA
TraesCS1A02G032200	NA	NA	NA
TraesCS1A02G032300	NA	NA	NA
TraesCS1A02G032400	NA	NA	NA
TraesCS1A02G032700	0.030829657	0.060370138	0.061948607
TraesCS1A02G032900	0	NA	0
TraesCS1A02G033000	0.012267846	0.802960403	0.262599153
TraesCS1A02G033100	0.645926061	0.781594026	0.740801788
TraesCS1A02G033300	0	0.018747551	0.031322152
TraesCS1A02G033400	NA	NA	NA
TraesCS1A02G033500	0	0	0.015130127
TraesCS1A02G033600	0.016556483	0	0.015130127
TraesCS1A02G033800	0	0	0
TraesCS1A02G034100	0	0.038865489	0
