Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G025700	0.005150394	0.038253895	0.0201843
TraesCS1A02G025800	0	0.028222999	0.031026863
TraesCS1A02G025900	0.027436685	0.021184145	0.029618832
TraesCS1A02G026300	0.00308624	NA	NA
TraesCS1A02G026400	0.036339081	NA	0.009468167
TraesCS1A02G026900	NA	0.009877441	0
TraesCS1A02G027200	0.056346043	0.003776412	0.115228437
TraesCS1A02G027300	0	0	0
TraesCS1A02G027400	NA	NA	NA
TraesCS1A02G027500	0.011916107	NA	NA
TraesCS1A02G027600	0.036407381	NA	NA
TraesCS1A02G027700	0	NA	0.006144076
TraesCS1A02G027800	0.030804462	NA	0.004622132
TraesCS1A02G028000	NA	0	NA
TraesCS1A02G028100	NA	0	NA
TraesCS1A02G028300	NA	NA	NA
TraesCS1A02G028400	NA	NA	0
TraesCS1A02G028500	0	NA	0.009468167
TraesCS1A02G028600	0.005963387	NA	0
TraesCS1A02G028700	NA	NA	0
TraesCS1A02G028900	0	NA	0.009468167
TraesCS1A02G029100	NA	0	0.022684654
TraesCS1A02G029200	0.036755225	0	0.01475428
TraesCS1A02G029300	0.051349486	0.070582008	0.135745804
TraesCS1A02G029400	0	0	NA
TraesCS1A02G029900	NA	NA	0
TraesCS1A02G030100	0.026927892	0.043442848	0.019727769
TraesCS1A02G030500	0.015550478	0.012455261	0.008269754
TraesCS1A02G030600	0.23689636	0.267488771	0.006784188
TraesCS1A02G030700	0.025775337	0.019207522	0.040893715
TraesCS1A02G031000	NA	NA	0
TraesCS1A02G031100	NA	NA	NA
TraesCS1A02G031200	0.517112808	0.143441696	0.349370092
TraesCS1A02G031300	NA	NA	0
TraesCS1A02G031400	NA	NA	0
TraesCS1A02G031800	NA	NA	NA
TraesCS1A02G031900	NA	NA	NA
TraesCS1A02G032000	NA	NA	NA
TraesCS1A02G032200	NA	NA	NA
TraesCS1A02G032300	NA	NA	NA
TraesCS1A02G032400	NA	NA	NA
TraesCS1A02G032700	0.0403493	0.037553577	0.021881833
TraesCS1A02G032900	0.005585064	NA	0
TraesCS1A02G033000	0.090279675	1.023279632	0.276589849
TraesCS1A02G033100	0.569311587	0.474174254	0.608974778
TraesCS1A02G033300	0.016606032	0.009171619	0.061134023
