Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G025700	6.5136	4.399	7.1632
TraesCS1A02G025800	0.025	2.5406	5.5026
TraesCS1A02G025900	0	0	0
TraesCS1A02G026300	0.5632	0.499	0.2894
TraesCS1A02G026400	11.0702	0.0104	2.3978
TraesCS1A02G026900	0.0546	1.021	0
TraesCS1A02G027200	7.8722	22.6646	2.58
TraesCS1A02G027300	3.288	2.2646	3.0128
TraesCS1A02G027400	1.2718	6.6022	0.1528
TraesCS1A02G027500	9.86	6.6022	0.1528
TraesCS1A02G027600	11.4098	4.4352	2.1324
TraesCS1A02G027700	7.7524	6.6022	7.3582
TraesCS1A02G027800	3.6454	6.6022	4.0578
TraesCS1A02G028000	1.859	5.3836	0.1528
TraesCS1A02G028100	0.0266	5.7694	0
TraesCS1A02G028300	0	0.0102	0
TraesCS1A02G028400	0.3496	0.312	0.6268
TraesCS1A02G028500	4.646	0.499	2.3978
TraesCS1A02G028600	5.3704	0.312	0.6268
TraesCS1A02G028700	6.479	0.312	0.6268
TraesCS1A02G028900	13.0888	0.0104	2.3978
TraesCS1A02G029100	2.3424	0.3584	3.448
TraesCS1A02G029200	21.4188	19.1388	19.8198
TraesCS1A02G029300	26.2888	6.1002	12.547
TraesCS1A02G029400	0.0332	0.0996	0.009
TraesCS1A02G029900	0.0456	0.0284	0.0428
TraesCS1A02G030100	3.6022	14.7766	6.492
TraesCS1A02G030500	6.197	10.6308	10.073
TraesCS1A02G030600	6.0158	8.753	9.6208
TraesCS1A02G030700	1.6308	2.5606	2.4934
TraesCS1A02G031000	0.0088	0	0.0182
TraesCS1A02G031100	0.0044	0	0
TraesCS1A02G031200	5.5324	5.4586	3.45
TraesCS1A02G031300	0.2268	0	0.026
TraesCS1A02G031400	2.6558	4.6682	2.9762
TraesCS1A02G031800	0.0172	0	0
TraesCS1A02G031900	0	0.0138	0
TraesCS1A02G032000	0	0.0162	0.0532
TraesCS1A02G032200	0.0234	0.0054	0.0048
TraesCS1A02G032300	0.0048	0	0
TraesCS1A02G032400	0	0	0
TraesCS1A02G032700	0	9.0912	10.9808
TraesCS1A02G032900	0.0358	0.2052	0.0746
TraesCS1A02G033000	18.7944	25.2748	24.6564
TraesCS1A02G033100	30.118	30.9734	22.0894
TraesCS1A02G033300	8.2748	7	11.8642
TraesCS1A02G033400	0	0	0
TraesCS1A02G033500	6.9124	27.9024	7.9646
TraesCS1A02G033600	28.6014	27.9024	7.9646
TraesCS1A02G033800	3.7434	3.3904	2.588
TraesCS1A02G034100	3.2384	6.1002	1.2298
TraesCS1A02G034300	0	0.0024	0
TraesCS1A02G034500	0	0.0078	0.0082
TraesCS1A02G034600	0	0	0.04
TraesCS1A02G034700	0	0	0.04
TraesCS1A02G034800	0	0	0
TraesCS1A02G034900	0.0034	0	0.022
TraesCS1A02G035000	8.861	7.1164	5.9324
TraesCS1A02G035200	4.9	0	0
TraesCS1A02G035400	0	0	0
TraesCS1A02G035700	0.0308	0.0026	0.026
TraesCS1A02G035900	3.8082	0.59	2.2708
TraesCS1A02G036000	0.0024	0	0.012
TraesCS1A02G036100	0	0	0
TraesCS1A02G036200	0.7358	0.3436	0.5692
TraesCS1A02G036300	7.7808	8.4042	8.8516
TraesCS1A02G036400	0.0484	0.0132	0
TraesCS1A02G036500	2.337	0	0
TraesCS1A02G036700	0.227	0.3828	0.499
TraesCS1A02G037400	0	0.0442	0
TraesCS1A02G037700	0.1444	0	0.1702
TraesCS1A02G037800	0.0402	0	0.1146
TraesCS1A02G037900	24.3784	28.0856	35.3326
TraesCS1A02G038100	550.7274	1970.379	1342.7812
TraesCS1A02G038200	1518.5746	2145.791	1106.6032
TraesCS1A02G038300	3.9566	69.1324	29.8464
TraesCS1A02G038400	0	0.0238	0
TraesCS1A02G039100	0	0	0
TraesCS1A02G039200	9.0458	0.0562	8.5576
TraesCS1A02G039900	0.0082	0.129	0.032
TraesCS1A02G040100	0	0	0.0102
TraesCS1A02G040400	7.2386	3.081	4.8036
TraesCS1A02G040500	17.8184	4.083	14.8608
TraesCS1A02G040600	20.5486	29.951	20.2874
TraesCS1A02G041700	0.0144	0	0.0132
TraesCS1A02G041900	2.5426	6.6022	7.3582
TraesCS1A02G042000	0.1128	0	0
TraesCS1A02G042100	1.361	6.6022	0.5196
TraesCS1A02G042300	0.1668	0.1574	0.4322
TraesCS1A02G042700	0.432	0.7158	0
TraesCS1A02G042800	2.9886	2.9596	0.147
TraesCS1A02G043200	16.6722	14.6624	16.374
TraesCS1A02G043400	8.4414	0.9606	8.914
TraesCS1A02G043500	0.0576	0.0066	0.0288
TraesCS1A02G043600	17.2434	10.4072	15.8012
TraesCS1A02G043900	0	0.006	0.003
TraesCS1A02G044500	4.2714	0.027	0
TraesCS1A02G044600	7.4756	18.1286	10.2726
TraesCS1A02G044800	8.3832	0.1574	0.171
TraesCS1A02G044900	0.1248	0	0.0998
TraesCS1A02G045000	0.009	0.0122	0.0062
TraesCS1A02G045100	0	0.0328	0.011
TraesCS1A02G045300	0.29	0	1.02
TraesCS1A02G045400	5.462	5.6204	5.6856
