Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G026400	20.9584	4.3912	2.749
TraesCS1A02G026900	0.0226	0.5538	0
TraesCS1A02G027200	11.0298	32.8042	0.8422
TraesCS1A02G027300	2.8478	1.5498	2.518
TraesCS1A02G027400	0.0172	1.8532	0
TraesCS1A02G027500	4.4278	1.8532	0
TraesCS1A02G027600	7.957	2.5244	0.7016
TraesCS1A02G027700	3.0806	1.8532	4.469
TraesCS1A02G027800	1.162	1.8532	2.8954
TraesCS1A02G028000	0.1894	1.5366	0
TraesCS1A02G028100	0	2.6782	0
TraesCS1A02G028300	0	0	0
TraesCS1A02G028400	0.254	0.9012	1.697
TraesCS1A02G028500	6.1096	0.174	2.749
TraesCS1A02G028600	10.4058	0.9012	1.697
TraesCS1A02G028700	9.9396	0.9012	1.697
TraesCS1A02G028900	19.0058	4.3912	2.749
TraesCS1A02G029100	2.6642	0.5636	0.398
TraesCS1A02G029200	32.0684	24.9334	35.8568
TraesCS1A02G029300	22.6558	2.7832	10.0206
TraesCS1A02G029400	0.0028	0.0148	0.0024
TraesCS1A02G029900	0.0034	0	0
TraesCS1A02G030100	5.7648	9.3718	9.0734
TraesCS1A02G030500	16.9372	15.8196	23.2924
TraesCS1A02G030600	6.3454	4.165	9.0422
TraesCS1A02G030700	2.3648	1.773	2.889
TraesCS1A02G031000	0	0	0.0154
TraesCS1A02G031100	0.101	0	0.0172
TraesCS1A02G031200	4.5514	2.9232	2.5258
TraesCS1A02G031300	0.0082	0.006	0.0108
TraesCS1A02G031400	2.891	3.4496	8.5798
TraesCS1A02G031800	0.0102	0	0
TraesCS1A02G031900	0.0032	0	0
TraesCS1A02G032000	0	0	0
TraesCS1A02G032200	0	0	0
TraesCS1A02G032300	0	0	0.0216
TraesCS1A02G032400	0.0056	0	0
TraesCS1A02G032700	0	7.187	13.4122
TraesCS1A02G032900	0.1114	0	0.3172
TraesCS1A02G033000	17.9518	17.9698	27.0464
TraesCS1A02G033100	18.4172	10.1896	10.855
TraesCS1A02G033300	8.9256	6.6634	13.041
TraesCS1A02G033400	0	0	0
TraesCS1A02G033500	23.3572	12.4312	9.9732
TraesCS1A02G033600	24.8666	12.4312	9.9732
TraesCS1A02G033800	7.8078	2.155	3.0248
TraesCS1A02G034100	4.3854	2.7832	2.7062
TraesCS1A02G034300	0	0	0
TraesCS1A02G034500	0	0.0044	0
TraesCS1A02G034600	0	0	0
TraesCS1A02G034700	0	0	0
TraesCS1A02G034800	0	0	0
TraesCS1A02G034900	0.0072	0	0.0102
TraesCS1A02G035000	15.7926	7.2928	6.409
TraesCS1A02G035200	2.7266	0	0
TraesCS1A02G035400	0.6486	0	0
TraesCS1A02G035700	0.0058	0	0.006
TraesCS1A02G035900	30.853	3.1482	5.6224
TraesCS1A02G036000	0	0	0
TraesCS1A02G036100	0	0	0
TraesCS1A02G036200	1.5844	0.587	1.9422
TraesCS1A02G036300	10.267	6.5404	9.895
TraesCS1A02G036400	0	0	0
TraesCS1A02G036500	3.3084	0	0
TraesCS1A02G036700	0.0498	0.0402	0.1438
TraesCS1A02G037400	0	0.0046	0
TraesCS1A02G037700	0.1132	0	0.1518
TraesCS1A02G037800	0.0504	0	0.0392
TraesCS1A02G037900	21.0884	9.8512	17.1996
TraesCS1A02G038100	100.4862	958.211	651.6164
TraesCS1A02G038200	672.1772	961.4034	439.266
TraesCS1A02G038300	4.2892	46.9202	39.7054
TraesCS1A02G038400	0	0	0
TraesCS1A02G039100	0	0	0
TraesCS1A02G039200	10.0904	0.0028	8.7356
TraesCS1A02G039900	0	0.0476	0.0244
TraesCS1A02G040100	0	0	0
TraesCS1A02G040400	18.6814	5.614	11.325
TraesCS1A02G040500	23.609	4.4708	19.4346
TraesCS1A02G040600	19.9748	17.4212	22.4622
TraesCS1A02G041700	0.0118	0	0.0184
TraesCS1A02G041900	1.8374	1.8532	4.469
TraesCS1A02G042000	0.0138	0	0
TraesCS1A02G042100	0.4126	1.8532	0.0258
TraesCS1A02G042300	0.0106	0.006	0.1374
TraesCS1A02G042700	0.8668	1.0488	0.0056
TraesCS1A02G042800	0.6176	0.973	0.458
TraesCS1A02G043200	15.6226	10.0348	19.7442
TraesCS1A02G043400	9.602	0.5972	12.3632
TraesCS1A02G043500	0.01	0.0176	0.0072
TraesCS1A02G043600	19.2394	7.853	19.4016
TraesCS1A02G043900	0	0	0.0034
TraesCS1A02G044500	3.6502	0.0172	0
TraesCS1A02G044600	4.1554	4.2782	5.1058
TraesCS1A02G044800	10.0958	0.043	0.0646
TraesCS1A02G044900	0.009	0	0.0936
TraesCS1A02G045000	0	0.0208	0
TraesCS1A02G045100	0	0	0
TraesCS1A02G045300	0.0904	0	1.1258
TraesCS1A02G045400	7.0954	3.0452	6.711
TraesCS1A02G045500	0	0	0
TraesCS1A02G045600	0	0	0
TraesCS1A02G045800	1.2344	0.3904	7.8666
TraesCS1A02G045900	0.028	0.0266	0
TraesCS1A02G046000	0.0476	0.0598	0.6016
TraesCS1A02G046100	0	0	9.8068
TraesCS1A02G046300	5.6172	0.0444	8.742
TraesCS1A02G046400	0.0158	0.003	0.003
TraesCS1A02G046500	0.0114	0	0
TraesCS1A02G046600	19.243	0	9.4904
TraesCS1A02G046800	3.6566	1.843	0.7288
TraesCS1A02G047000	12.0254	16.0646	20.6584
TraesCS1A02G047200	0	0	0
TraesCS1A02G047300	0	0.0352	0
TraesCS1A02G047400	0	0.161	0
TraesCS1A02G047500	12.8484	4.5002	7.5646
TraesCS1A02G047700	0	0	0.0062
TraesCS1A02G048300	0.0086	0	0.0212
TraesCS1A02G048400	0.3782	0.366	0.0076
TraesCS1A02G048500	0.226	0.366	0.0076
TraesCS1A02G048600	6.4036	1.9958	10.3728
TraesCS1A02G048700	0.2206	0.1496	0.219
TraesCS1A02G049300	0	0	0
TraesCS1A02G049500	0	0	0
TraesCS1A02G049700	6.081	0.0216	54.9502
TraesCS1A02G050000	0	0	0
TraesCS1A02G050100	0	0.0218	0
TraesCS1A02G050400	0	0	0
TraesCS1A02G050600	0.2012	0	0
TraesCS1A02G050700	0.018	0	0
TraesCS1A02G050800	0.0186	0	0
TraesCS1A02G050900	5.6464	9.7978	12.3698
TraesCS1A02G051000	0.9802	0.3246	0.0324
TraesCS1A02G051300	0	10.5734	0
TraesCS1A02G051400	0.32	0.101	0.3038
TraesCS1A02G051500	37.1714	7.198	35.115
TraesCS1A02G051600	7.3732	2.894	0.0396
TraesCS1A02G051700	74.513	0	0
TraesCS1A02G051800	0.2158	0.292	0.3838
TraesCS1A02G052000	1.6104	1.131	2.2786
TraesCS1A02G052200	0	0.1172	19.6714
TraesCS1A02G052300	17.9312	12.2276	20.0342
TraesCS1A02G052500	0	0	0
TraesCS1A02G052600	0	0	0.0098
TraesCS1A02G052700	0	0	0.0098
TraesCS1A02G052800	0	0	0
TraesCS1A02G052900	0	0	0
TraesCS1A02G053100	0	0	0
TraesCS1A02G053300	0	0	0.0096
TraesCS1A02G053500	0	0	0.0096
TraesCS1A02G053700	3.123	0	3.3346
TraesCS1A02G053800	0	0	0.0096
