Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G027800	1.757	3.263	3.606
TraesCS1A02G028000	0.285	1.774	0
TraesCS1A02G028100	0.0695	7.6455	0
TraesCS1A02G028300	0	0	0
TraesCS1A02G028400	0.043	0	0.1355
TraesCS1A02G028500	2.686	0.0225	0.054
TraesCS1A02G028600	4.3985	0	0.1355
TraesCS1A02G028700	4.951	0	0.1355
TraesCS1A02G028900	9.297	0	0.054
TraesCS1A02G029100	2.466	0.198	0.0435
TraesCS1A02G029200	24.095	23.5385	20.592
TraesCS1A02G029300	46.7535	4.148	14.637
TraesCS1A02G029400	0.0135	0	0
TraesCS1A02G029900	0.0075	0.0075	0.008
TraesCS1A02G030100	3.723	14.7095	7.6165
TraesCS1A02G030500	9.405	15.907	17.801
TraesCS1A02G030600	5.533	8.9275	10.63
TraesCS1A02G030700	1.937	2.85	2.9205
TraesCS1A02G031000	0	0	0
TraesCS1A02G031100	0.011	0	0
TraesCS1A02G031200	4.029	4.555	1.565
TraesCS1A02G031300	0.0025	0	0.006
TraesCS1A02G031400	2.823	4.3515	3.3685
TraesCS1A02G031800	0	0	0
TraesCS1A02G031900	0	0	0
TraesCS1A02G032000	0	0	0.0135
TraesCS1A02G032200	0	0	0
TraesCS1A02G032300	0	0	0
TraesCS1A02G032400	0	0	0.014
TraesCS1A02G032700	0	8.942	13.6
TraesCS1A02G032900	0.0305	0.03	0.09
TraesCS1A02G033000	16.854	32.8365	29.5285
TraesCS1A02G033100	23.509	21.2795	9.4225
TraesCS1A02G033300	10.77	10.665	17.4105
TraesCS1A02G033400	0	0	0
TraesCS1A02G033500	13.4315	28.69	13.9345
TraesCS1A02G033600	38.3005	28.69	13.9345
TraesCS1A02G033800	3.8975	3.0365	2.536
TraesCS1A02G034100	4.715	4.148	1.7655
TraesCS1A02G034300	0	0	0
TraesCS1A02G034500	0.01	0	0
TraesCS1A02G034600	0	0	0
TraesCS1A02G034700	0	0	0
TraesCS1A02G034800	0	0	0
TraesCS1A02G034900	0.0165	0	0.0165
TraesCS1A02G035000	13.5835	6.9165	4.7565
TraesCS1A02G035200	3.08	0	0
TraesCS1A02G035400	0	0	0
TraesCS1A02G035700	0.0065	0	0.0135
TraesCS1A02G035900	5.184	0.588	1.285
TraesCS1A02G036000	0	0	0
TraesCS1A02G036100	0	0	0
TraesCS1A02G036200	1.349	0.5265	0.7615
TraesCS1A02G036300	8.031	9.3695	9.7575
TraesCS1A02G036400	0	0	0
TraesCS1A02G036500	3.4615	0	0
TraesCS1A02G036700	0.422	0.444	0.6335
TraesCS1A02G037400	0	0.0155	0
TraesCS1A02G037700	0.018	0	0.0835
TraesCS1A02G037800	0.018	0	0.0825
TraesCS1A02G037900	6.4555	13.1515	11.7185
TraesCS1A02G038100	243.7	2305.8145	1472.582
TraesCS1A02G038200	1414.514	2330.8985	805.899
TraesCS1A02G038300	3.569	114.9755	40.251
TraesCS1A02G038400	0	0	0
